label,unit,key,type,category,value_type,percent_option,lower_bound,upper_bound,definition
Is the Town proposing Co Treatment at STP?,,co_treat_proposed,user_input,Decentralized Treatment,str,,,,Whether co-treatment of septage is being proposed for at the STP
Cost of Co-Treatment Facility at STP,currency/KL,cost_co_treatment,optional_input,Decentralized Treatment,float,,0,,The cost per kiloliter for co-treatment facilities at STP
FSTPs Available?, ,fstp_avail,user_input,Decentralized Treatment,str,,,,Whether Fecal Sludge Treatment Plants are available
FSTP Design Capacity,KLD,fstp_capacity,user_input,Decentralized Treatment,float,,0,,The maximum volume of fecal sludge that can be treated per day
Capital Cost of FSTP,currency/KL,fstp_cost,optional_input,Decentralized Treatment,float,,0,,The cost per kiloliter of FSTP capacity
Annual O&M Cost of FSTP,currency/KLD,fstp_maint_cost,optional_input,Decentralized Treatment,float,,0,,The yearly maintenance cost per kiloliter per day of FSTP capacity
Percentage of Gap to be Addressed by Sewer,%,sewer_vs_fstp_percent,user_input,Decentralized Treatment,slider,,,,The percentage of sanitation gap to be addressed through sewered systems
Sewer Construction Cost,currency/Km,sewer_const_cost,optional_input,Centralized Treatment,float,,0,,The cost per kilometer for constructing sewer lines
Sewer Network Length,Km,sewer_length,user_input,Centralized Treatment,float,,0,,The total length of sewer network in kilometers
Sewer Annual Maintenance,currency/Km,sewer_maint_cost,optional_input,Centralized Treatment,float,,,,The yearly maintenance cost per kilometer of sewer network
STP Design Capacity,MLD,stp_capacity,user_input,Centralized Treatment,float,,,,The maximum volume of sewage that the treatment plant can process per day
Capital Cost of STP,currency/MLD,stp_cost,optional_input,Centralized Treatment,float,,,,The cost per million liters per day of sewage treatment plant capacity
Annual O&M Cost of STP,currency/MLD,stp_maint_cost,optional_input,Centralized Treatment,float,,,,The yearly maintenance cost per million liters per day of STP capacity
Transportation Cost to Doctor,currency,commute_cost_doctor,optional_input,Health and Productivity,float,,,,The average cost of transportation to medical facilities
Current Sewer Connection,%,urban_pop_with_sewer_percent,user_input,Centralized Treatment,float,urban_pop,,,The percentage of households currently connected to the sewer network
Projected Sewer Connection,%,urban_pop_with_sewer_in_investment_year_percent,optional_input,Centralized Treatment,float,urban_pop,,,The target percentage of households to be connected to sewer network
Recycled Water Value,currency/KL,recycled_water_value,optional_input,Centralized Treatment,float,,0,,The economic value per kiloliter of recycled water
Percent of Wastewater Reused,%,wastewater_reuse_percent,optional_input,Centralized Treatment,float,,0,,
Total Disease Incidence,Cases/Year,disease_incidence,user_input,Health and Productivity,float,,,,
Disease Incidence in Working Age,Cases/Year,disease_incidence_working,user_input,Health and Productivity,float,disease_incidence,0,,The number of new cases of waterborne diseases reported annually
Cost of Medical Treatment for Diahhreal Illness,currency/Instance,treatment_cost,optional_input,Health and Productivity,float,,0,,The average cost of treating one case of diarrheal illness
Public Awareness Cost,currency/Person,awareness_cost,optional_input,Training and Outreach,float,,0,,The cost per person for public awareness campaigns
Community Training Cost,currency/Person,training_cost,optional_input,Training and Outreach,float,,0,,The cost per person for community sanitation training
Discount Rate,%,discount_rate,optional_input,Advanced Inputs,float,,,,
Time saved from water collection (adjusted by FHTC proportion),HR/Household-Day,water_access_saved,optional_input,Advanced Inputs,float,,0,,
Desludging Frequency,Years,desludging_freq,optional_input,Advanced Inputs,float,,0,30,How often septic tanks need to be emptied
ULB officials to be trained within Population,%,percent_ulb_officials_trained,optional_input,Advanced Inputs,float,,,,
Time saved from sanitation access (adjusted by CT proportion),HR/Person-Day,sanitation_access_saved,optional_input,Advanced Inputs,float,,0,,
Septage emptied in household desludging,KL,septage_emptied_per_household,optional_input,Advanced Inputs,float,,0,,
Sewer network length per person (pop > 100000),m/person,sewer_length_large,optional_input,Advanced Inputs,float,,0,,
Sewer network length per person (20000 < pop <= 100000),m/person,sewer_length_medium,optional_input,Advanced Inputs,float,,0,,
Sewer network length/person (pop <= 20000),m/person,sewer_length_small,optional_input,Advanced Inputs,float,,0,,
Percent Decrease in Disease Incidence due to WASH,%,disease_decrease_percent,optional_input,Advanced Inputs,float,,0,,
Days off Work Per Disease Incidence,Count,days_per_incidence,optional_input,Advanced Inputs,float,,0,,
Percentage increase in GDP due to Tourism Following WASH Investment,%,increase_gdp_tourism_percent,optional_input,Advanced Inputs,float,,0,,
